HourAndDate,Winner,Price,Runner,Result
21:24:33 16/02/2022,1º,5.0,Adam Brough,2-1-4
21:27:47 16/02/2022,1º,3.6,Grant Hill,2-4-1
21:31:02 16/02/2022,1º,2.4,Steve Webb,1-4-3
21:34:17 16/02/2022,1º,2.37,Paul Price,1-3-4
21:37:31 16/02/2022,1º,7.5,Larry Cole,3-2-1
21:40:46 16/02/2022,1º,3.4,Guy Kilbride,4-3-1
21:44:00 16/02/2022,1º,4.0,Simon Carter,1-3-4
21:47:14 16/02/2022,1º,4.5,Ben Danobi,2-4-1
21:50:28 16/02/2022,1º,4.33,Roger Quincy,3-1-2
21:53:43 16/02/2022,1º,3.2,Alex Causley,3-4-1
21:56:57 16/02/2022,1º,3.0,Gary Rowell,2-1-4
22:00:11 16/02/2022,1º,3.75,Robert Whitby,2-1-4
22:03:25 16/02/2022,1º,2.87,Craig Edmonds,2-3-1
22:06:39 16/02/2022,1º,9.0,Kasper Niels,4-1-2
22:09:54 16/02/2022,1º,3.0,Darren Clutton,1-3-2
22:13:08 16/02/2022,1º,3.25,Eddie Hill,3-2-1
22:16:22 16/02/2022,1º,3.0,Jake Bradley,4-1-3
22:19:36 16/02/2022,1º,2.4,Jon Simons,2-4-3
22:22:51 16/02/2022,1º,2.37,Jimmy Royale,1-2-3
22:26:05 16/02/2022,1º,3.4,Garry Kristofferson,4-3-2
07:48:19 17/02/2022,1º,2.8,Paddy Dungannon,4-3-2
07:51:33 17/02/2022,1º,2.4,Matt Fisk,1-4-3
07:54:47 17/02/2022,1º,3.6,Stephen Kirkland,1-4-2
07:58:02 17/02/2022,1º,2.37,Eddie Flintoff,4-2-3
08:01:16 17/02/2022,1º,5.0,Jack Danielson,3-1-2
08:02:32 17/02/2022,1º,4.0,Stephen Stones,2-3-1
08:05:46 17/02/2022,1º,5.5,Simon Wilshire,1-4-3
08:09:00 17/02/2022,1º,3.0,Cliff Richardson,1-2-4
08:12:15 17/02/2022,1º,3.25,Timothy Small,1-2-4
08:15:29 17/02/2022,1º,2.4,Richard Kelsall,2-4-3
08:18:43 17/02/2022,1º,5.5,Scott Arrowsmith,1-3-4
08:21:57 17/02/2022,1º,8.0,William Garrison,1-4-2
08:25:11 17/02/2022,1º,2.4,Gareth Read,3-4-2
08:28:25 17/02/2022,1º,3.25,Aaron Bailey,2-4-1
08:31:40 17/02/2022,1º,3.75,Roger Smith,1-3-2
08:34:54 17/02/2022,1º,3.4,Michael Scofield,4-1-3
08:38:08 17/02/2022,1º,2.4,Colin Aldridge,3-4-1
08:41:22 17/02/2022,1º,5.0,Rick Collins,4-2-3
08:44:36 17/02/2022,1º,5.5,Paul Richardson,2-1-3
08:51:38 17/02/2022,1º,10.0,Rob Wod,1-4-2
08:51:38 17/02/2022,1º,4.0,Justin Stevens,1-4-2
08:54:54 17/02/2022,1º,3.2,Donny Tyler,4-3-2
08:58:09 17/02/2022,1º,3.2,William Constantine,3-1-4
09:01:24 17/02/2022,1º,3.6,Ivan Fedir,1-2-4
09:04:39 17/02/2022,1º,10.0,Lee Jordan,1-2-4
09:07:54 17/02/2022,1º,2.4,Craig Ryles,1-3-2
09:11:10 17/02/2022,1º,3.0,Chad Schekler,4-1-3
09:14:25 17/02/2022,1º,2.4,Steve Webb,1-3-4
09:17:42 17/02/2022,1º,3.75,Graham Langton,3-2-4
09:20:57 17/02/2022,1º,5.5,Neil Dale,4-2-1
09:24:12 17/02/2022,1º,2.37,David Sherratt,4-3-1
